rebrickable_name,bl_color_id
White,1
Tan,2
Yellow,3
Orange,4
Red,5
Green,6
Blue,7
Black,11
Purple,24
Nougat,28
Lime,34
Bright Green,36
Dark Turquoise,39
Medium Blue,42
Dark Pink,47
Sand Green,48
Sand Blue,55
Dark Red,59
Dark Blue,63
Dark Orange,68
Dark Tan,69
Magenta,71
Dark Green,80
Dark Bluish Gray,85
Light Bluish Gray,86
Reddish Brown,88
Dark Purple,89
Light Nougat,90
Flat Silver,95
Very Light Bluish Gray,99
Bright Light Yellow,103
Bright Pink,104
Bright Light Blue,105
Bright Light Orange,110
Dark Brown,120
Medium Nougat,150
Dark Azure,153
Lavender,154
Olive Green,155
Medium Azure,156
Medium Lavender,157
Coral,220
