element_id,part_num,color_id,design_id
300501,3005,15,3005
300502,3005,7,3005
300505,3005,19,
300509,3005,13,3005
300510,3005,47,
300511,3005,1051,3005
300521,3005,4,3005
300522,3005,351,3005
300523,3005,1,3005
300524,3005,14,3005
300525,3005,6,3005
300526,3005,0,3005
300527,3005,8,
300528,3005,2,3005
300540,3005,47,
300543,3005,33,
300544,3005,46,
300551,3005,15,
3007140,3005,47,30071
3007143,3005,33,
4101685,3005,41,
4101686,3005,36,
4101687,3005,34,
4112551,3005,33,
4112801,3005,36,30071
4112802,3005,34,30071
4113915,3005,19,3005
4114079,3005,8,3005
4119350,3005,33,30071
4119645,3005,25,
4119671,3005,18,
4119683,3005,125,
4122446,3005,27,
4122456,3005,484,
4128573,3005,74,3005
4129874,3005,45,30071
4130313,3005,112,
4130332,3005,68,
4130355,3005,462,
4130371,3005,41,
4133523,3005,135,
4133556,3005,22,
4141275,3005,41,30071
4143490,3005,143,30071
4143573,3005,52,30071
4155050,3005,378,3005
4159178,3005,462,3005
4160990,3005,6,3005
4163591,3005,118,3005
4165447,3005,92,
4165452,3005,73,
4166055,3005,57,30071
4166057,3005,46,30071
4169428,3005,379,3005
4173805,3005,25,3005
4176391,3005,334,
4177585,3005,10,
4179814,3005,484,3005
4179830,3005,73,3005
4188707,3005,135,
4209383,3005,320,3005
4211098,3005,72,3005
4211242,3005,70,3005
4211389,3005,71,3005
4216456,3005,114,30071
4220634,3005,27,3005
4224851,3005,85,3005
4227497,3005,46,30071
4238226,3005,47,
4243861,3005,1091,
4245297,3005,5,
4245298,3005,29,
4250605,3005,1051,3005
4255413,3005,272,3005
4262655,3005,182,30071
4271434,3005,288,
4286050,3005,29,3005
4490694,3005,191,
4492224,3005,5,3005
4495168,3005,42,
4496290,3005,288,
4496977,3005,78,
4497006,3005,86,
4497030,3005,92,
4497070,3005,28,
4517380,3005,378,
4517507,3005,378,
4521915,3005,288,3005
4521948,3005,378,3005
4541376,3005,320,3005
4561489,3005,34,
4569624,3005,84,3005
4569767,3005,151,
4585671,3005,1051,3005
4589633,3005,85,
4597292,3005,36,
4597300,3005,46,
4597483,3005,484,
4619652,3005,322,3005
4620077,3005,379,3005
4630751,3005,323,3005
4640738,3005,85,3005
4645394,3005,47,30071
4651903,3005,30,3005
6000643,3005,484,3005
6001824,3005,28,3005
6014060,3005,41,
6014082,3005,212,
6014488,3005,10,
6014502,3005,226,
6015104,3005,30,
6015117,3005,31,
6022035,3005,26,3005
6022084,3005,226,3005
6031135,3005,326,
6052994,3005,41,30071
6057986,3005,84,3005
6058242,3005,326,3005
6061685,3005,191,3005
6066120,3005,52,30071
6084028,3005,85,3005
6088531,3005,158,
6088654,3005,321,
6089841,3005,308,
6089855,3005,40,
6089873,3005,35,
6097053,3005,31,3005
6097448,3005,45,30071
6101288,3005,323,3005
6102359,3005,40,30071
6172766,3005,158,3005
6213776,3005,3,3005
6220959,3005,47,35382
6225538,3005,321,3005
6226437,3005,308,3005
6236576,3005,323,3005
6236772,3005,3,3005
6240548,3005,33,35382
6240549,3005,114,35382
6240550,3005,182,35382
6240551,3005,41,35382
6240552,3005,52,35382
6240553,3005,45,35382
6240554,3005,40,35382
6253761,3005,129,35382
6254484,3005,484,3005
6264956,3005,1050,3005
6277483,3005,46,35382
6285271,3005,212,3005
6329870,3005,40,35382
6330369,3005,92,3005
6343279,3005,10,3005
6369191,3005,78,3005
6422915,3005,1050,3005
6427904,3005,1062,3005
6452907,3005,10,3005
6470140,3005,1095,35382
6494117,3005,33,35382
6514207,3005,47,35382
6514208,3005,114,35382
6514209,3005,182,35382
6514210,3005,41,35382
6514211,3005,45,35382
6514212,3005,129,35382
6514213,3005,46,35382
6514214,3005,1095,35382
6514215,3005,33,35382
6548258,3005,15,3005
6552096,3005,15,
6554189,3005,272,3005
6567035,3005,158,3005
6567217,3005,1136,3005
6584821,3005,1146,3005
6603285,3005,322,3005
6618073,3005,288,3005
300401,3004,15,3004
300402,3004,7,3004
300405,3004,19,
300409,3004,13,
300410,3004,47,
300411,3004,1051,
300418,3004,92,
300421,3004,4,3004
300422,3004,351,3004
300423,3004,1,3004
300424,3004,14,3004
300425,3004,6,3004
300426,3004,0,3004
300427,3004,8,
300428,3004,2,
300441,3004,36,
300444,3004,46,
4101681,3004,33,
4101682,3004,46,
4101683,3004,36,
4101684,3004,34,
4101751,3004,41,
4107736,3004,2,3004
4109995,3004,19,3004
4113909,3004,8,3004
4119672,3004,18,
4119685,3004,125,
4121500,3004,3,3004
4121739,3004,25,3004
4122447,3004,27,
4122457,3004,484,
4124230,3004,1051,3004
4129824,3004,74,3004
4130312,3004,112,
4130331,3004,68,
4130354,3004,462,
4133524,3004,135,
4133557,3004,22,
4153374,3004,379,3004
4153377,3004,378,3004
4157114,3004,22,3004
4163454,3004,320,3004
4164022,3004,27,3004
4164238,3004,335,3004
4164441,3004,484,3004
4165445,3004,92,
4165451,3004,73,
4173052,3004,18,3004
4176392,3004,334,
4177582,3004,10,
4179833,3004,73,3004
4204811,3004,13,
4206360,3004,26,3004
4206970,3004,45,
4211088,3004,72,3004
4211149,3004,70,3004
4211388,3004,71,3004
4223840,3004,89,3004
4224854,3004,85,3004
4243862,3004,1091,
4245295,3004,5,3004
4245296,3004,29,
4245570,3004,288,3004
4249891,3004,272,3004
4250609,3004,1051,3004
4253807,3004,69,3004
4256587,3004,47,
4262612,3004,118,
4292045,3004,92,
4490695,3004,191,
4496976,3004,78,
4497004,3004,86,
4497069,3004,28,
4517499,3004,378,
4517993,3004,29,3004
4519195,3004,26,3004
4521914,3004,28,3004
4539102,3004,320,3004
4569382,3004,84,3004
4569770,3004,151,
4579659,3004,484,3004
4585673,3004,1051,3004
4589603,3004,85,3004
4613959,3004,1,93792
4613961,3004,4,93792
4613963,3004,70,93792
4613964,3004,15,93792
4613965,3004,27,93792
4613966,3004,14,93792
4613981,3004,25,93792
4616581,3004,378,3004
4621545,3004,5,3004
4623598,3004,30,3004
4623774,3004,308,3004
4623890,3004,78,
4623925,3004,378,
4629786,3004,73,93792
4640739,3004,85,3004
4642425,3004,378,
4647553,3004,10,3004
